Name,Description,Degree Attributes,Enrollment Status,Type,Start Time,End Time,Days of Week,Instructors,Degree Level,Credits,Formatted Days,Start 24,End 24,Formatted TimeSlot,Matched Skills,Combined Text
Intro Computing: Engrg &amp; Sci,"Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. Prerequisite: One of MATH 220 or MATH 221 or MATH 231 or MATH 241.",Quantitative Reasoning II course.,Open (Restricted),Lecture,3:00 PM,3:50 PM,MW,"Butler, L;Ritschel, N",PhD,,Mon Wed,15:00,15:50,Mon Wed 15:00 - 15:50,"['Research on Artificial Intelligence and Machine learning', 'Artificial Intelligence (AI) and Machine Learning', 'Data Engineering', 'Big Data Technologies', 'Data Analysis and Visualization', 'Internet of Things', 'Problem Solving and Analysis', 'Feature Engineering', 'Cloud Computing', 'Data Structure', 'Data Science', 'Research on Natural Language Processing', 'Data Engineer', 'Data Analytics', 'Research on Block Chain', 'Operating Systems and Networking', 'Research on Cyber Security', 'Artificial Intelligence and Machine learning', 'Video Editing and Animation', 'Working with Technology and New Idea Generate', 'Illustration and Design', 'Graphic Design and Editing', 'Video Editing And Animation']","Intro Computing: Engrg &amp; Sci Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. Prerequisite: One of MATH 220 or MATH 221 or MATH 231 or MATH 241."
Intro Computing: Engrg &amp; Sci,"Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. Prerequisite: One of MATH 220 or MATH 221 or MATH 231 or MATH 241.",Quantitative Reasoning II course.,Closed,Laboratory-Discussion,4:00 PM,5:50 PM,M,"Butler, L;Ritschel, N",PhD,,Mon,16:00,17:50,Mon 16:00 - 17:50,"['Research on Artificial Intelligence and Machine learning', 'Artificial Intelligence (AI) and Machine Learning', 'Data Engineering', 'Big Data Technologies', 'Data Analysis and Visualization', 'Internet of Things', 'Problem Solving and Analysis', 'Feature Engineering', 'Cloud Computing', 'Data Structure', 'Data Science', 'Research on Natural Language Processing', 'Data Engineer', 'Data Analytics', 'Research on Block Chain', 'Operating Systems and Networking', 'Research on Cyber Security', 'Artificial Intelligence and Machine learning', 'Video Editing and Animation', 'Working with Technology and New Idea Generate', 'Illustration and Design', 'Graphic Design and Editing', 'Video Editing And Animation']","Intro Computing: Engrg &amp; Sci Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. Prerequisite: One of MATH 220 or MATH 221 or MATH 231 or MATH 241."
Intro Computing: Engrg &amp; Sci,"Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. Prerequisite: One of MATH 220 or MATH 221 or MATH 231 or MATH 241.",Quantitative Reasoning II course.,Closed,Laboratory-Discussion,9:00 AM,10:50 AM,T,"Butler, L;Ritschel, N",PhD,,Tue,09:00,10:50,Tue 09:00 - 10:50,"['Research on Artificial Intelligence and Machine learning', 'Artificial Intelligence (AI) and Machine Learning', 'Data Engineering', 'Big Data Technologies', 'Data Analysis and Visualization', 'Internet of Things', 'Problem Solving and Analysis', 'Feature Engineering', 'Cloud Computing', 'Data Structure', 'Data Science', 'Research on Natural Language Processing', 'Data Engineer', 'Data Analytics', 'Research on Block Chain', 'Operating Systems and Networking', 'Research on Cyber Security', 'Artificial Intelligence and Machine learning', 'Video Editing and Animation', 'Working with Technology and New Idea Generate', 'Illustration and Design', 'Graphic Design and Editing', 'Video Editing And Animation']","Intro Computing: Engrg &amp; Sci Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. Prerequisite: One of MATH 220 or MATH 221 or MATH 231 or MATH 241."
Intro Computing: Engrg &amp; Sci,"Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. Prerequisite: One of MATH 220 or MATH 221 or MATH 231 or MATH 241.",Quantitative Reasoning II course.,Open,Laboratory-Discussion,11:00 AM,12:50 PM,T,"Butler, L;Ritschel, N",PhD,,Tue,11:00,12:50,Tue 11:00 - 12:50,"['Research on Artificial Intelligence and Machine learning', 'Artificial Intelligence (AI) and Machine Learning', 'Data Engineering', 'Big Data Technologies', 'Data Analysis and Visualization', 'Internet of Things', 'Problem Solving and Analysis', 'Feature Engineering', 'Cloud Computing', 'Data Structure', 'Data Science', 'Research on Natural Language Processing', 'Data Engineer', 'Data Analytics', 'Research on Block Chain', 'Operating Systems and Networking', 'Research on Cyber Security', 'Artificial Intelligence and Machine learning', 'Video Editing and Animation', 'Working with Technology and New Idea Generate', 'Illustration and Design', 'Graphic Design and Editing', 'Video Editing And Animation']","Intro Computing: Engrg &amp; Sci Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. Prerequisite: One of MATH 220 or MATH 221 or MATH 231 or MATH 241."
Intro Computing: Engrg &amp; Sci,"Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. Prerequisite: One of MATH 220 or MATH 221 or MATH 231 or MATH 241.",Quantitative Reasoning II course.,Closed,Laboratory-Discussion,1:00 PM,2:50 PM,T,"Butler, L;Ritschel, N",PhD,,Tue,13:00,14:50,Tue 13:00 - 14:50,"['Research on Artificial Intelligence and Machine learning', 'Artificial Intelligence (AI) and Machine Learning', 'Data Engineering', 'Big Data Technologies', 'Data Analysis and Visualization', 'Internet of Things', 'Problem Solving and Analysis', 'Feature Engineering', 'Cloud Computing', 'Data Structure', 'Data Science', 'Research on Natural Language Processing', 'Data Engineer', 'Data Analytics', 'Research on Block Chain', 'Operating Systems and Networking', 'Research on Cyber Security', 'Artificial Intelligence and Machine learning', 'Video Editing and Animation', 'Working with Technology and New Idea Generate', 'Illustration and Design', 'Graphic Design and Editing', 'Video Editing And Animation']","Intro Computing: Engrg &amp; Sci Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. Prerequisite: One of MATH 220 or MATH 221 or MATH 231 or MATH 241."
Intro Computing: Engrg &amp; Sci,"Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. Prerequisite: One of MATH 220 or MATH 221 or MATH 231 or MATH 241.",Quantitative Reasoning II course.,Open,Laboratory-Discussion,3:00 PM,4:50 PM,T,"Butler, L;Ritschel, N",PhD,,Tue,15:00,16:50,Tue 15:00 - 16:50,"['Research on Artificial Intelligence and Machine learning', 'Artificial Intelligence (AI) and Machine Learning', 'Data Engineering', 'Big Data Technologies', 'Data Analysis and Visualization', 'Internet of Things', 'Problem Solving and Analysis', 'Feature Engineering', 'Cloud Computing', 'Data Structure', 'Data Science', 'Research on Natural Language Processing', 'Data Engineer', 'Data Analytics', 'Research on Block Chain', 'Operating Systems and Networking', 'Research on Cyber Security', 'Artificial Intelligence and Machine learning', 'Video Editing and Animation', 'Working with Technology and New Idea Generate', 'Illustration and Design', 'Graphic Design and Editing', 'Video Editing And Animation']","Intro Computing: Engrg &amp; Sci Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. Prerequisite: One of MATH 220 or MATH 221 or MATH 231 or MATH 241."
Intro Computing: Engrg &amp; Sci,"Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. Prerequisite: One of MATH 220 or MATH 221 or MATH 231 or MATH 241.",Quantitative Reasoning II course.,Open,Laboratory-Discussion,9:00 AM,10:50 AM,W,"Butler, L;Ritschel, N",PhD,,Wed,09:00,10:50,Wed 09:00 - 10:50,"['Research on Artificial Intelligence and Machine learning', 'Artificial Intelligence (AI) and Machine Learning', 'Data Engineering', 'Big Data Technologies', 'Data Analysis and Visualization', 'Internet of Things', 'Problem Solving and Analysis', 'Feature Engineering', 'Cloud Computing', 'Data Structure', 'Data Science', 'Research on Natural Language Processing', 'Data Engineer', 'Data Analytics', 'Research on Block Chain', 'Operating Systems and Networking', 'Research on Cyber Security', 'Artificial Intelligence and Machine learning', 'Video Editing and Animation', 'Working with Technology and New Idea Generate', 'Illustration and Design', 'Graphic Design and Editing', 'Video Editing And Animation']","Intro Computing: Engrg &amp; Sci Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. Prerequisite: One of MATH 220 or MATH 221 or MATH 231 or MATH 241."
Intro Computing: Engrg &amp; Sci,"Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. Prerequisite: One of MATH 220 or MATH 221 or MATH 231 or MATH 241.",Quantitative Reasoning II course.,Open,Laboratory-Discussion,9:00 AM,10:50 AM,W,"Butler, L;Ritschel, N",PhD,,Wed,09:00,10:50,Wed 09:00 - 10:50,"['Research on Artificial Intelligence and Machine learning', 'Artificial Intelligence (AI) and Machine Learning', 'Data Engineering', 'Big Data Technologies', 'Data Analysis and Visualization', 'Internet of Things', 'Problem Solving and Analysis', 'Feature Engineering', 'Cloud Computing', 'Data Structure', 'Data Science', 'Research on Natural Language Processing', 'Data Engineer', 'Data Analytics', 'Research on Block Chain', 'Operating Systems and Networking', 'Research on Cyber Security', 'Artificial Intelligence and Machine learning', 'Video Editing and Animation', 'Working with Technology and New Idea Generate', 'Illustration and Design', 'Graphic Design and Editing', 'Video Editing And Animation']","Intro Computing: Engrg &amp; Sci Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. Prerequisite: One of MATH 220 or MATH 221 or MATH 231 or MATH 241."
Intro Computing: Engrg &amp; Sci,"Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. Prerequisite: One of MATH 220 or MATH 221 or MATH 231 or MATH 241.",Quantitative Reasoning II course.,Open,Laboratory-Discussion,11:00 AM,12:50 PM,W,"Butler, L;Ritschel, N",PhD,,Wed,11:00,12:50,Wed 11:00 - 12:50,"['Research on Artificial Intelligence and Machine learning', 'Artificial Intelligence (AI) and Machine Learning', 'Data Engineering', 'Big Data Technologies', 'Data Analysis and Visualization', 'Internet of Things', 'Problem Solving and Analysis', 'Feature Engineering', 'Cloud Computing', 'Data Structure', 'Data Science', 'Research on Natural Language Processing', 'Data Engineer', 'Data Analytics', 'Research on Block Chain', 'Operating Systems and Networking', 'Research on Cyber Security', 'Artificial Intelligence and Machine learning', 'Video Editing and Animation', 'Working with Technology and New Idea Generate', 'Illustration and Design', 'Graphic Design and Editing', 'Video Editing And Animation']","Intro Computing: Engrg &amp; Sci Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. Prerequisite: One of MATH 220 or MATH 221 or MATH 231 or MATH 241."
Intro Computing: Engrg &amp; Sci,"Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. Prerequisite: One of MATH 220 or MATH 221 or MATH 231 or MATH 241.",Quantitative Reasoning II course.,Closed,Laboratory-Discussion,4:00 PM,5:50 PM,W,"Butler, L;Ritschel, N",PhD,,Wed,16:00,17:50,Wed 16:00 - 17:50,"['Research on Artificial Intelligence and Machine learning', 'Artificial Intelligence (AI) and Machine Learning', 'Data Engineering', 'Big Data Technologies', 'Data Analysis and Visualization', 'Internet of Things', 'Problem Solving and Analysis', 'Feature Engineering', 'Cloud Computing', 'Data Structure', 'Data Science', 'Research on Natural Language Processing', 'Data Engineer', 'Data Analytics', 'Research on Block Chain', 'Operating Systems and Networking', 'Research on Cyber Security', 'Artificial Intelligence and Machine learning', 'Video Editing and Animation', 'Working with Technology and New Idea Generate', 'Illustration and Design', 'Graphic Design and Editing', 'Video Editing And Animation']","Intro Computing: Engrg &amp; Sci Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. Prerequisite: One of MATH 220 or MATH 221 or MATH 231 or MATH 241."
