Name,Description,Degree Attributes,Enrollment Status,Type,Start Time,End Time,Days of Week,Instructors
Intro Computing: Engrg &amp; Sci,"Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. Prerequisite: One of MATH 220 or MATH 221 or MATH 231 or MATH 241.",Quantitative Reasoning II course.,Open (Restricted),Lecture,03:00 PM,03:50 PM,MW,"Butler, L;Ritschel, N"
Intro Computing: Engrg &amp; Sci,"Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. Prerequisite: One of MATH 220 or MATH 221 or MATH 231 or MATH 241.",Quantitative Reasoning II course.,Closed,Laboratory-Discussion,04:00 PM,05:50 PM,M,"Butler, L;Ritschel, N"
Intro Computing: Engrg &amp; Sci,"Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. Prerequisite: One of MATH 220 or MATH 221 or MATH 231 or MATH 241.",Quantitative Reasoning II course.,Closed,Laboratory-Discussion,09:00 AM,10:50 AM,T,"Butler, L;Ritschel, N"
Intro Computing: Engrg &amp; Sci,"Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. Prerequisite: One of MATH 220 or MATH 221 or MATH 231 or MATH 241.",Quantitative Reasoning II course.,Open,Laboratory-Discussion,11:00 AM,12:50 PM,T,"Butler, L;Ritschel, N"
Intro Computing: Engrg &amp; Sci,"Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. Prerequisite: One of MATH 220 or MATH 221 or MATH 231 or MATH 241.",Quantitative Reasoning II course.,Closed,Laboratory-Discussion,01:00 PM,02:50 PM,T,"Butler, L;Ritschel, N"
Intro Computing: Engrg &amp; Sci,"Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. Prerequisite: One of MATH 220 or MATH 221 or MATH 231 or MATH 241.",Quantitative Reasoning II course.,Open,Laboratory-Discussion,03:00 PM,04:50 PM,T,"Butler, L;Ritschel, N"
Intro Computing: Engrg &amp; Sci,"Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. Prerequisite: One of MATH 220 or MATH 221 or MATH 231 or MATH 241.",Quantitative Reasoning II course.,Open,Laboratory-Discussion,09:00 AM,10:50 AM,W,"Butler, L;Ritschel, N"
Intro Computing: Engrg &amp; Sci,"Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. Prerequisite: One of MATH 220 or MATH 221 or MATH 231 or MATH 241.",Quantitative Reasoning II course.,Open,Laboratory-Discussion,11:00 AM,12:50 PM,W,"Butler, L;Ritschel, N"
Intro Computing: Engrg &amp; Sci,"Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. Prerequisite: One of MATH 220 or MATH 221 or MATH 231 or MATH 241.",Quantitative Reasoning II course.,Closed,Laboratory-Discussion,04:00 PM,05:50 PM,W,"Butler, L;Ritschel, N"
Intro Computing: Engrg &amp; Sci,"Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. Prerequisite: One of MATH 220 or MATH 221 or MATH 231 or MATH 241.",Quantitative Reasoning II course.,Open,Laboratory-Discussion,09:00 AM,10:50 AM,R,"Butler, L;Ritschel, N"
